,user_id,date,content_2,sentiment_label,sentiment_score
3751,132389123,2020-01-06 05:52:10+00:00,"Faktor Kemampuan Berpengaruh Terhadap Kinerja Usaha Mikro Kecil Menengah (UMKM) PESERTA Program PKT di Wilayah Kebayoran Lama, Jakarta Selatan",neutral,0.9927597045898438
3749,1610879210,2020-01-06 09:55:06+00:00,#News: Peluncuran Aplikasi E-Order Disambut Positif Para UMKM,neutral,0.9716752171516418
3745,166014938,2020-01-07 03:05:24+00:00,"Pemprov DKI Jakarta meluncurkan sistem e-Order atau pasar online UMKM, di Balai Pertemuan Blok G, Balai Kota DKI Jakarta, Senin (6/1).  https://t.co/Keg1po6Tcp.  https://t.co/hCWvTZArdP #DKIJakarta #Jakpreneur #Eorder #UMKM #Jaki #perlutahu",neutral,0.9949901700019836
3744,1034105337811361792,2020-01-07 04:52:05+00:00,"Woow Jakarta Punya Aplikasi Pasar Online e-Order Goodbener Pak Anies @aniesbaswedan  Pemprov DKI Memajukan UMKM  Jakarta Punya Pasar Online, Netizen Sebut Inspiratif Dan Layak Diikuti Provinsi lain",positive,0.941497802734375
3741,3061430933,2020-01-07 05:45:06+00:00,"Pemprov DKI Jakarta meluncurkan sistem e-Order atau pasar online, di Balai Pertemuan Blok G, Balai Kota DKI Jakarta, Senin (6/1). Bertujuan untuk mendorong tumbuhnya UMKM di DKI Jakarta.⁣ ⁣ E-Order ini merupakan…",neutral,0.9954361319541932
3728,121293218,2020-01-11 03:05:35+00:00,"Apakah produk Kawaniaga siap mendunia? Tahun 2020, Kemendag mengajak UMKM di Jakarta, Bandung, Semarang, Surabaya, dan Banyuwangi mengikuti Export Coaching Program (ECP). Baca persyaratannya di",neutral,0.9915924072265624
3727,1168733818053771264,2020-01-11 12:46:18+00:00,"LOWONGAN KERJA IKHWAN AKHWAT - JAKARTA TIMUR  PRAMUSAJI  Bismillah. Shuài Dimsum &amp; Pempek, UMKM yg bergerak di bidang kuliner. Sedang membuka lowongan sebagai Pramusaji.  Kriteria : - Muslim/muslimah - Usia 19 - 30…",neutral,0.95726478099823
3721,124390203,2020-01-14 04:22:40+00:00,Pelarangan #Plastik Sekali Pakai di Jakarta Tuai Reaksi! Ada yang bereaksi gembira ada yang menolak!  Siapa bergembira? Siapa yang bereaksi keras?  Kami ngobrol bersama Ketua Asosiasi UMKM dan @dinaslhdki di #KBRPagi,neutral,0.9837856888771056
3719,457745214,2020-01-14 04:26:59+00:00,"yang menjual makanan (sarapan, makan siang, makan malam) yang di pasok dari UMKM alias warung2 makan sekitar lokasi stasiun.  Biar ngebantu geliat ekonomi warung makan (warteg, nasi padang, warsun, warbes, dll) di Jakarta, Pemda DKI di kelola oleh pemda DKI (dan BEKRAF), bikin-",positive,0.834125816822052
3720,457745214,2020-01-14 04:26:59+00:00,"#sodaqohpikiran  Stasiun MRT kayak mindahin mall ke bawah tanah??  Gimana kalo di stasiun MRT Jakarta retailer-nya UMKM semua, at least setengah nya deh, biar adil kebagian semua warung2 makan / UMKM di stasiun disediakan tempat untuk Vending Machine (Mesin Jual Otomatis) UMKM,",positive,0.7434391379356384
